[2025-07-11 00:00:31,157] INFO [QuorumController id=1] Replaying ProducerIdsRecord ProducerIdsRecord(brokerId=1, brokerEpoch=7, nextProducerId=1000) (org.apache.kafka.controller.ProducerIdControlManager)
[2025-07-11 00:03:24,071] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='__consumer_offsets', numPartitions=50, replicationFactor=1, assignments=[], configs=[CreatableTopicConfig(name='compression.type', value='producer'), CreatableTopicConfig(name='cleanup.policy', value='compact'), CreatableTopicConfig(name='segment.bytes', value='104857600')]): SUCCESS (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,073] INFO [QuorumController id=1] Replayed TopicRecord for topic __consumer_offsets with topic ID nUzKts9kT0qNZWB4mza2gw. (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,074] INFO [QuorumController id=1] Replayed ConfigRecord for ConfigResource(type=TOPIC, name='__consumer_offsets') which set configuration compression.type to producer (org.apache.kafka.controller.ConfigurationControlManager)
[2025-07-11 00:03:24,074] INFO [QuorumController id=1] Replayed ConfigRecord for ConfigResource(type=TOPIC, name='__consumer_offsets') which set configuration cleanup.policy to compact (org.apache.kafka.controller.ConfigurationControlManager)
[2025-07-11 00:03:24,075] INFO [QuorumController id=1] Replayed ConfigRecord for ConfigResource(type=TOPIC, name='__consumer_offsets') which set configuration segment.bytes to 104857600 (org.apache.kafka.controller.ConfigurationControlManager)
[2025-07-11 00:03:24,075] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-0 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,076] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-1 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,076] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-2 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,077] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-3 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,077] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-4 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,078] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-5 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,078] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-6 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,079] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-7 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,079] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-8 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,080] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-9 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,080] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-10 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
